loading app simple_switch_stp_13.py
loading app ryu.controller.ofp_handler
instantiating app None of Stp
creating context stplib
instantiating app simple_switch_stp_13.py of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
stplib: Exception occurred during handler processing. Backtrace from offending handler [port_status_handler] servicing event [EventOFPPortStatus] follows.
Traceback (most recent call last):
  File "/usr/local/lib/python3.6/dist-packages/ryu/base/app_manager.py", line 290, in _event_loop
    handler(ev)
  File "/usr/local/lib/python3.6/dist-packages/ryu/lib/stplib.py", line 301, in port_status_handler
    if bridge.ports_state[port.port_no] == port.state:
KeyError: 4294967294
packet in 1152921504606846982 1a:09:ec:f5:68:2b 33:33:00:00:00:fb 2
packet in 1152921504606846978 1a:09:ec:f5:68:2b 33:33:00:00:00:fb 3
packet in 1152921504606846981 1a:09:ec:f5:68:2b 33:33:00:00:00:fb 2
packet in 1152921504606846977 1a:09:ec:f5:68:2b 33:33:00:00:00:fb 2
packet in 1152921504606846984 1a:09:ec:f5:68:2b 33:33:00:00:00:fb 2
packet in 1152921504606846985 1a:09:ec:f5:68:2b 33:33:00:00:00:fb 3
packet in 1152921504606846986 1a:09:ec:f5:68:2b 33:33:00:00:00:fb 2
packet in 1152921504606846983 1a:09:ec:f5:68:2b 33:33:00:00:00:fb 3
packet in 1152921504606846984 36:ba:af:8b:f7:ee 33:33:00:00:00:fb 6
packet in 1152921504606846978 36:ba:af:8b:f7:ee 33:33:00:00:00:fb 4
packet in 1152921504606846986 36:ba:af:8b:f7:ee 33:33:00:00:00:fb 2
packet in 1152921504606846983 36:ba:af:8b:f7:ee 33:33:00:00:00:fb 3
packet in 1152921504606846985 36:ba:af:8b:f7:ee 33:33:00:00:00:fb 3
packet in 1152921504606846977 36:ba:af:8b:f7:ee 33:33:00:00:00:fb 2
packet in 1152921504606846979 36:ba:af:8b:f7:ee 33:33:00:00:00:fb 2
packet in 1152921504606846980 36:ba:af:8b:f7:ee 33:33:00:00:00:fb 2
packet in 1152921504606846981 36:ba:af:8b:f7:ee 33:33:00:00:00:fb 2
packet in 1152921504606846982 36:ba:af:8b:f7:ee 33:33:00:00:00:fb 2
packet in 1152921504606846984 ee:98:ab:99:db:3e 33:33:00:00:00:fb 5
packet in 1152921504606846986 ca:47:be:ca:36:5a 33:33:00:00:00:fb 4
packet in 1152921504606846983 ee:98:ab:99:db:3e 33:33:00:00:00:fb 3
packet in 1152921504606846978 ee:98:ab:99:db:3e 33:33:00:00:00:fb 4
packet in 1152921504606846984 ca:47:be:ca:36:5a 33:33:00:00:00:fb 5
packet in 1152921504606846977 ee:98:ab:99:db:3e 33:33:00:00:00:fb 2
packet in 1152921504606846985 ee:98:ab:99:db:3e 33:33:00:00:00:fb 3
packet in 1152921504606846979 ee:98:ab:99:db:3e 33:33:00:00:00:fb 2
packet in 1152921504606846978 ca:47:be:ca:36:5a 33:33:00:00:00:fb 4
packet in 1152921504606846983 ca:47:be:ca:36:5a 33:33:00:00:00:fb 3
packet in 1152921504606846981 ee:98:ab:99:db:3e 33:33:00:00:00:fb 2
packet in 1152921504606846980 ee:98:ab:99:db:3e 33:33:00:00:00:fb 2
packet in 1152921504606846979 ca:47:be:ca:36:5a 33:33:00:00:00:fb 2
packet in 1152921504606846985 ca:47:be:ca:36:5a 33:33:00:00:00:fb 3
packet in 1152921504606846977 ca:47:be:ca:36:5a 33:33:00:00:00:fb 2
packet in 1152921504606846982 ee:98:ab:99:db:3e 33:33:00:00:00:fb 2
packet in 1152921504606846980 ca:47:be:ca:36:5a 33:33:00:00:00:fb 2
packet in 1152921504606846981 ca:47:be:ca:36:5a 33:33:00:00:00:fb 2
packet in 1152921504606846982 ca:47:be:ca:36:5a 33:33:00:00:00:fb 2
packet in 1152921504606846985 7a:d7:d8:48:8e:46 33:33:00:00:00:fb 4
packet in 1152921504606846978 7a:d7:d8:48:8e:46 33:33:00:00:00:fb 5
packet in 1152921504606846977 7a:d7:d8:48:8e:46 33:33:00:00:00:fb 2
packet in 1152921504606846979 7a:d7:d8:48:8e:46 33:33:00:00:00:fb 2
packet in 1152921504606846984 7a:d7:d8:48:8e:46 33:33:00:00:00:fb 2
